now_us,bytes_acked,mss,rtt_us,tp_delivered_rate,tp_rate_interval_us,tp_delivered,lost,retrans,app_limited
100041208,37874448,1308,22475329,13746,36757917,28957,0,0,0
100041280,37875756,1308,22474196,13746,36760325,28958,0,0,0
100041285,37877064,1308,22474201,13747,36761530,28959,0,0,0
100041289,37878372,1308,22471797,13748,36761530,28960,0,0,0
100041294,37879680,1308,22471802,13749,36763938,28961,0,0,0
100041298,37880988,1308,22469397,13750,36763938,28962,0,0,0
100041303,37882296,1308,22469402,13751,36766347,28963,0,0,0
100041308,37883604,1308,22466998,13752,36766347,28964,0,0,0
100041313,37884912,1308,22467003,13753,36768756,28965,0,0,0
100041410,37886220,1308,22464691,13754,36768756,28966,0,0,0
100041418,37887528,1308,22464699,13755,36771165,28967,0,0,0
100041423,37888836,1308,22462295,13756,36771165,28968,0,0,0
100041429,37890144,1308,22462301,13757,36773574,28969,0,0,0
100041433,37891452,1308,22459896,13758,36773574,28970,0,0,0
100041438,37892760,1308,22459901,13759,36775983,28971,0,0,0
100041442,37894068,1308,22457496,13760,36775983,28972,0,0,0
100041447,37895376,1308,22457501,13761,36778392,28973,0,0,0
100041519,37896684,1308,22455165,13762,36778392,28974,0,0,0
100041524,37897992,1308,22455170,13763,36780800,28975,0,0,0
100041528,37899300,1308,22452765,13764,36780800,28976,0,0,0
100041533,37900608,1308,22452770,13765,36783209,28977,0,0,0
100041611,37901916,1308,22450439,13766,36783209,28978,0,0,0
100041616,37903224,1308,22450444,13767,36785618,28979,0,0,0
100041620,37904532,1308,22448039,13768,36785618,28980,0,0,0
100041625,37905840,1308,22448044,13769,36788027,28981,0,0,0
100041630,37907148,1308,22445640,13770,36788027,28982,0,0,0
100041634,37908456,1308,22444440,13771,36790436,28983,0,0,0
100041639,37909764,1308,22444445,13772,36791640,28984,0,0,0
100041643,37911072,1308,22442040,13773,36791640,28985,0,0,0
100041650,37912380,1308,22442047,13774,36794049,28986,0,0,0
100041655,37913688,1308,22439643,13775,36794049,28987,0,0,0
100041660,37914996,1308,22439648,13776,36796458,28988,0,0,0
100041665,37916304,1308,22437244,13777,36796458,28989,0,0,0
100041874,37917612,1308,22437453,13778,36798867,28990,0,0,0
