now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_cwnd,snd_una
2238117,10811232,1376,501074,3698,503338,7858,0,0,0,2809893056,43983101,7865.0,
2247215,10818112,1376,510172,3700,503856,7863,0,0,0,2809915072,43894330,7867.0,
2265342,10829120,1376,528299,3705,512954,7871,0,0,0,2809956352,43734436,7872.0,
2265429,10882784,1376,527475,3713,531081,7910,0,0,0,2809978368,43417846,7880.0,
2265472,10917184,1376,527518,3752,531168,7935,0,0,0,2810021024,43319199,7919.0,
2270313,10936448,1376,532359,3777,531211,7949,0,0,0,2810150368,43193692,7944.0,
2275143,10990112,1376,536278,3791,536052,7988,0,0,0,2810173760,42991390,7958.0,
2280316,11024512,1376,540540,3830,540882,8013,0,0,0,2810279712,42909631,7997.0,
2280430,11053408,1376,540654,3855,546055,8034,0,0,0,2810344384,42746172,8022.0,
2280451,11058912,1376,540675,3876,546169,8038,0,0,0,2810344384,42608526,8043.0,
2280467,11075424,1376,539780,3880,546190,8050,0,0,0,2810344384,42413417,8047.0,
2280483,11097440,1376,539796,3892,546206,8066,0,0,0,2810344384,42288752,8059.0,
2280499,11102944,1376,539812,3908,546222,8070,0,0,0,2810344384,42218291,8075.0,
2280513,11109824,1376,539826,3912,546238,8075,0,0,0,2810344384,42104789,8079.0,
2280528,11146976,1376,538930,3917,546252,8102,0,0,0,2810344384,42013719,8084.0,
2281329,11175872,1376,539731,3944,546267,8123,0,0,0,2810407680,42051598,8111.0,
2283263,11207520,1376,540754,3965,547068,8146,0,0,0,2810472352,42072098,8132.0,
2283306,11254304,1376,540797,3988,549002,8180,0,0,0,2810472352,42094753,8155.0,
2283325,11261184,1376,540816,4022,549045,8185,0,0,0,2810472352,42194535,8189.0,
2285030,11274944,1376,541610,4027,549064,8195,0,0,0,2810537024,42154041,8194.0,
2285096,11325856,1376,541676,4037,550769,8232,0,0,0,2810601696,42139807,8204.0,
2286076,11364384,1376,541745,4074,550835,8260,0,0,0,2810601696,42271640,8241.0,
2300193,11371264,1376,555862,4102,551815,8265,0,0,0,2811014496,42363604,8269.0,
2309965,11378144,1376,565634,4107,565932,8270,0,0,0,2811054400,42205600,8274.0,
2310037,11402912,1376,559985,4112,575704,8288,0,0,0,2811076416,41976959,8279.0,
2322192,11411168,1376,572140,4111,560025,8294,0,0,0,2811119072,41847171,8297.0,
2322280,11419424,1376,572228,4117,572180,8300,0,0,0,2811142464,41624695,8303.0,
2322309,11474464,1376,571802,4123,572268,8340,0,0,0,2811143840,41435135,8309.0,
2322340,11517120,1376,571833,4136,572225,8371,0,0,0,2811183744,41443127,8349.0,
2322360,11524000,1376,561898,4167,572256,8376,0,0,0,2811183744,41434231,8380.0,
