now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_una,cwnd_MB,ssthresh_pkt
103163907,12903420,1308,39055157,3064,39079933,9866,0,0,0,272093474,184677,266250638,6.012876,48
103204657,12904728,1308,39079306,3065,39079963,9867,0,0,0,272101322,184686,266251946,6.012876,48
103204743,12906036,1308,39079392,3064,39080542,9868,0,0,0,272101322,184720,266253254,6.014184,48
103204783,12907344,1308,39062835,3065,39080628,9869,0,0,0,272101322,184715,266254562,6.014184,48
103204816,12908652,1308,39062868,3065,39080564,9870,0,0,0,272101322,184760,266255870,6.015492,48
103243976,12911268,1308,39079106,3066,39080597,9872,0,0,0,272109170,184764,266258486,6.015492,48
103244068,12912576,1308,39068930,3067,39079170,9873,0,0,0,272109170,184798,266259794,6.0168,48
103244106,12913884,1308,39068968,3066,39079113,9874,0,0,0,272109170,184839,266261102,6.018108,48
103244141,12915192,1308,39039509,3067,39079151,9875,0,0,0,272109170,184840,266262410,6.018108,48
103244171,12916500,1308,39039539,3067,39039570,9876,0,0,0,272109170,184898,266263718,6.019416,48
103284072,12917808,1308,39071143,3068,39039600,9877,0,0,0,272117018,184914,266265026,6.019416,48
103284159,12919116,1308,39071230,3068,39079392,9878,0,0,0,272117018,184949,266266334,6.020724,48
103284198,12920424,1308,39039519,3069,39079479,9879,0,0,0,272117018,184945,266267642,6.020724,48
103284229,12921732,1308,39039550,3068,39039581,9880,0,0,0,272117018,185000,266268950,6.022032,48
103324361,12923040,1308,39071387,3069,39039612,9881,0,0,0,272124866,185013,266270258,6.022032,48
103324448,12924348,1308,39071474,3069,39079635,9882,0,0,0,272124866,185046,266271566,6.02334,48
103324486,12925656,1308,39039467,3070,39079722,9883,0,0,0,272124866,185040,266272874,6.02334,48
103324518,12926964,1308,39039499,3070,39039526,9884,0,0,0,272124866,185093,266274182,6.024648,48
103324551,12928272,1308,39031237,3071,39039558,9885,0,0,0,272124866,185105,266275490,6.024648,48
103363988,12929580,1308,39070674,3070,39039444,9886,0,0,0,272132714,185160,266276798,6.025956,48
103364076,12930888,1308,39039172,3071,39078881,9887,0,0,0,272132714,185150,266278106,6.025956,48
103364114,12932196,1308,39039210,3071,39039237,9888,0,0,0,272132714,185200,266279414,6.027264,48
103364147,12933504,1308,39030947,3072,39039275,9889,0,0,0,272132714,185208,266280722,6.027264,48
103404510,12934812,1308,39071310,3072,39039132,9890,0,0,0,272137946,185261,266282030,6.028572,48
103404595,12936120,1308,39040296,3073,39079495,9891,0,0,0,272137946,185247,266283338,6.028572,48
103404631,12937428,1308,39040332,3072,39040359,9892,0,0,0,272137946,185294,266284646,6.02988,48
103444733,12938736,1308,39072139,3073,39040395,9893,0,0,0,272145794,185301,266285954,6.02988,48
103483752,12940044,1308,39111158,3073,39080387,9894,0,0,0,272153642,185327,266287262,6.031188,48
103483843,12941352,1308,39094657,3074,39119406,9895,0,0,0,272153642,185292,266288570,6.031188,48
103523960,12942660,1308,39134774,3074,39119444,9896,0,0,0,272161490,185311,266289878,6.032496,48
103524050,12945276,1308,39118274,3075,39159561,9898,0,0,0,272161490,185269,266292494,6.032496,48
103564036,12946584,1308,39119389,3075,39119066,9899,0,0,0,272169338,185282,266293802,6.033804,48
103564124,12947892,1308,39119477,3075,39119451,9900,0,0,0,272169338,185298,266295110,6.035112,48
103564164,12949200,1308,39111221,3076,39119539,9901,0,0,0,272169338,185277,266296418,6.035112,48
103603581,12950508,1308,39150638,3076,39119465,9902,0,0,0,272177186,185303,266297726,6.03642,48
103644594,12951816,1308,39159870,3077,39158882,9903,0,0,0,272185034,185268,266299034,6.03642,48
103684027,12953124,1308,39199303,3076,39159934,9904,0,0,0,272190266,185272,266300342,6.037728,48
103684087,12954432,1308,39191067,3077,39199367,9905,0,0,0,272190266,185217,266301650,6.037728,48
103724168,12955740,1308,39231148,3077,39199315,9906,0,0,0,272198114,185213,266302958,6.039036,48
103724257,12958356,1308,39214642,3078,39239396,9908,0,0,0,272198114,185152,266305574,6.039036,48
103724295,12959664,1308,39198087,3078,39239399,9909,0,0,0,272198114,185148,266306882,6.040344,48
103764426,12960972,1308,39238218,3077,39200052,9910,0,0,0,272205962,185159,266308190,6.041652,48
103764515,12962280,1308,39221716,3078,39240183,9911,0,0,0,272205962,185110,266309498,6.041652,48
103764551,12963588,1308,39221752,3079,39240272,9912,0,0,0,272205962,185117,266310806,6.04296,48
103764585,12964896,1308,39205194,3080,39240308,9913,0,0,0,272205962,185088,266312114,6.04296,48
103803715,12966204,1308,39244324,3078,39240157,9914,0,0,0,272213810,185112,266313422,6.044268,48
103803803,12967512,1308,39227829,3079,39279287,9915,0,0,0,272213810,185076,266314730,6.044268,48
