now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B,cwnd_pkt
58044111,1308,2,0,3.790584,48,27345609,8460144,0,12249420,2898
58085079,1308,2,0,3.791892,48,27386577,8461452,0,12252036,2899
58085199,1308,2,0,3.791892,48,27360882,8462760,0,12253344,2899
58124942,1308,2,0,3.7932,48,27398345,8464068,0,12255960,2900
58125061,1308,2,0,3.7932,48,27398464,8465376,0,12257268,2900
58125113,1308,2,0,3.794508,48,27360213,8466684,0,12259884,2901
58164639,1308,2,0,3.794508,48,27399739,8467992,0,12259884,2901
58164765,1308,2,0,3.795816,48,27395293,8469300,0,12262500,2902
58164820,1308,2,0,3.795816,48,27395348,8470608,0,12265116,2902
58203910,1308,2,0,3.797124,48,27425284,8471916,0,12267732,2903
58203999,1308,2,0,3.797124,48,27425373,8473224,0,12267732,2903
58204070,1308,2,0,3.798432,48,27399184,8474532,0,12270348,2904
58244247,1308,2,0,3.798432,48,27439361,8475840,0,12272964,2904
58284179,1308,2,0,3.79974,48,27474708,8477148,0,12275580,2905
58284301,1308,2,0,3.79974,48,27470244,8478456,0,12276888,2905
58284352,1308,2,0,3.801048,48,27470295,8479764,0,12279504,2906
58324458,1308,2,0,3.801048,48,27479292,8481072,0,12279504,2906
58324601,1308,2,0,3.802356,48,27479435,8482380,0,12282120,2907
58324655,1308,2,0,3.802356,48,27474893,8483688,0,12284736,2907
58364820,1308,2,0,3.803664,48,27515058,8484996,0,12287352,2908
58364941,1308,2,0,3.803664,48,27505982,8486304,0,12288660,2908
58404333,1308,2,0,3.804972,48,27545374,8487612,0,12291276,2909
58404455,1308,2,0,3.804972,48,27536292,8488920,0,12292584,2909
58444910,1308,2,0,3.80628,48,27576747,8490228,0,12295200,2910
58445031,1308,2,0,3.80628,48,27560932,8491536,0,12296508,2910
58484097,1308,2,0,3.807588,48,27599998,8492844,0,12299124,2911
58484218,1308,2,0,3.807588,48,27595515,8494152,0,12300432,2911
58484293,1308,2,0,3.808896,48,27595590,8495460,0,12303048,2912
58524772,1308,2,0,3.808896,48,27626852,8496768,0,12303048,2912
58563868,1308,2,0,3.810204,48,27665948,8498076,0,12305664,2913
58563991,2616,2,0,3.810204,48,27640052,8500692,0,12308280,2913
58604642,1308,2,0,3.811512,48,27676090,8502000,0,12310896,2914
58604764,1308,2,0,3.81282,48,27676212,8503308,0,12313512,2915
58604817,1308,2,0,3.81282,48,27667031,8504616,0,12316128,2915
58645143,1308,2,0,3.814128,48,27707357,8505924,0,12318744,2916
58645264,1308,2,0,3.814128,48,27680843,8507232,0,12320052,2916
58645314,1308,2,0,3.815436,48,27680893,8508540,0,12322668,2917
58684669,1308,2,0,3.815436,48,27715627,8509848,0,12322668,2917
58684794,1308,2,0,3.816744,48,27711128,8511156,0,12325284,2918
58684843,1308,2,0,3.816744,48,27711177,8512464,0,12327900,2918
58724993,1308,2,0,3.818052,48,27720085,8513772,0,12330516,2919
58725080,1308,2,0,3.818052,48,27720172,8515080,0,12330516,2919
58725152,1308,2,0,3.81936,48,27715615,8516388,0,12333132,2920
58764375,1308,2,0,3.81936,48,27754838,8517696,0,12335748,2920
58764495,1308,2,0,3.820668,48,27745694,8519004,0,12338364,2921
58804461,1308,2,0,3.820668,48,27785660,8520312,0,12338364,2921
58804589,1308,2,0,3.821976,48,27759554,8521620,0,12340980,2922
58804639,1308,2,0,3.821976,48,27759604,8522928,0,12343596,2922
58844342,1308,2,0,3.823284,48,27794671,8524236,0,12346212,2923
58844430,1308,2,0,3.823284,48,27794759,8525544,0,12346212,2923
58844505,1308,2,0,3.824592,48,27785555,8526852,0,12348828,2924
58884218,1308,2,0,3.824592,48,27825268,8528160,0,12351444,2924
58884340,1308,2,0,3.8259,48,27799461,8529468,0,12354060,2925
58924839,1308,2,0,3.8259,48,27837638,8530776,0,12354060,2925
