now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
6758328,353160,1308,1160841,64,1159159,271,0,0,0,2781147955,136450
6758418,354468,1308,1160931,64,1160895,272,0,0,0,2781149263,135582
6799631,355776,1308,1160092,65,1160985,273,0,0,0,2781151879,136235
6799719,357084,1308,1160180,64,1160147,274,0,0,0,2781153187,135590
6800011,358392,1308,1151291,65,1160235,275,0,0,0,2781155803,136421
6839705,359700,1308,1190985,65,1160434,276,0,0,0,2781155803,136063
6839800,361008,1308,1161217,66,1200128,277,0,0,0,2781158419,136538
6839842,362316,1308,1161259,66,1161318,278,0,0,0,2781161035,136192
6840011,363624,1308,1152290,67,1161360,279,0,0,0,2781161035,137262
6879093,364932,1308,1191372,66,1161364,280,0,0,0,2781163651,137131
6879216,366240,1308,1159924,67,1200446,281,0,0,0,2781166267,137798
6879245,367548,1308,1159953,67,1159978,282,0,0,0,2781168883,137656
6879267,368856,1308,1121161,68,1160007,283,0,0,0,2781168883,138894
6918988,370164,1308,1160882,67,1121214,284,0,0,0,2781171499,139370
6919073,372780,1308,1151933,68,1160935,286,0,0,0,2781174115,140550
6919105,374088,1308,1121385,69,1160929,287,0,0,0,2781174115,141889
6919132,375396,1308,1121412,69,1121440,288,0,0,0,2781174115,142339
6919194,376704,1308,1079709,70,1121467,289,0,0,0,2781174115,144107
6957694,378012,1308,1118209,69,1079762,290,0,0,0,2781179347,145121
6957761,380628,1308,1109261,70,1118262,292,0,0,0,2781179347,146785
6957790,381936,1308,1079649,71,1118238,293,0,0,0,2781179347,148566
6957831,383244,1308,1079690,71,1079699,294,0,0,0,2781179347,149405
6998144,384552,1308,1110974,72,1079740,295,0,0,0,2781184579,151550
6998206,385860,1308,1111036,71,1119726,296,0,0,0,2781184579,151679
6998238,387168,1308,1078371,72,1119788,297,0,0,0,2781184579,153196
6998264,388476,1308,1078397,72,1078426,298,0,0,0,2781184579,153857
6998290,389784,1308,1038667,73,1078452,299,0,0,0,2781184579,155857
7039009,391092,1308,1079386,72,1038725,300,0,0,0,2781192427,157082
7039075,393708,1308,1070372,73,1079444,302,0,0,0,2781192427,158867
7039146,395016,1308,1039544,74,1079116,303,0,0,0,2781192427,160780
7039167,396324,1308,1039565,74,1039600,304,0,0,0,2781192427,161776
7078311,397632,1308,1040111,75,1039621,305,0,0,0,2781197659,164109
7078375,398940,1308,1040175,74,1040165,306,0,0,0,2781197659,164885
7078444,400248,1308,1031118,75,1040229,307,0,0,0,2781197659,165568
7078465,402864,1308,1022013,76,1040298,309,0,0,0,2781197659,167819
7078485,404172,1308,998512,77,1040120,310,0,0,0,2781197659,168693
7119998,406788,1308,1035450,77,998565,312,0,0,0,2781206815,171430
7120065,408096,1308,999946,78,1039988,313,0,0,0,2781206815,171786
7120094,409404,1308,995375,78,999996,314,0,0,0,2781206815,174333
7120121,410712,1308,995402,78,999940,315,0,0,0,2781206815,175362
7159021,412020,1308,1000580,79,999967,316,0,0,0,2781212047,176272
7159083,413328,1308,996016,79,1000633,317,0,0,0,2781212047,178490
7159112,414636,1308,996045,79,1000567,318,0,0,0,2781212047,179205
7159139,415944,1308,960415,80,1000596,319,0,0,0,2781212047,179835
7159194,417252,1308,955817,80,960468,320,0,0,0,2781212047,182731
7197482,418560,1308,994105,80,960434,321,0,0,0,2781217279,184042
7197510,419868,1308,959483,81,998722,322,0,0,0,2781217279,184323
7197520,421176,1308,959493,80,973886,323,0,0,0,2781217279,186939
7197546,422484,1308,950232,81,973886,324,0,0,0,2781217279,187871
7240045,423792,1308,992731,81,962192,325,0,0,0,2781225127,188916
7240110,425100,1308,960114,82,1001980,326,0,0,0,2781225127,190406
7240141,426408,1308,960145,82,994874,327,0,0,0,2781225127,192702
7240170,427716,1308,920469,83,994874,328,0,0,0,2781225127,193325
7240196,429024,1308,920495,82,1013994,329,0,0,0,2781225127,196471
7279771,430332,1308,950705,83,1013994,330,0,0,0,2781232975,197845
7279889,431640,1308,950823,83,1002778,331,0,0,0,2781232975,198285
7279914,432948,1308,919953,84,1002778,332,0,0,0,2781232975,200297
7279935,434256,1308,915265,84,1033673,333,0,0,0,2781232975,201444
7317702,435564,1308,953032,83,1018244,334,0,0,0,2781242131,202583
7317744,436872,1308,934328,84,1018244,335,0,0,0,2781242131,202582
7318456,438180,1308,935040,85,1036990,336,0,0,0,2781242131,203080
7318488,439488,1308,916327,86,1036990,337,0,0,0,2781242131,203498
7358394,440796,1308,956233,85,1035686,338,0,0,0,2781249979,204370
7358454,442104,1308,920541,86,1035686,339,0,0,0,2781249979,204057
7358475,443412,1308,920562,86,1051762,340,0,0,0,2781249979,204749
7358496,444720,1308,911089,87,1051762,341,0,0,0,2781249979,205357
7358514,446028,1308,911107,87,1061256,342,0,0,0,2781249979,206153
7397570,447336,1308,919713,88,1061256,343,0,0,0,2781257827,206854
7397629,448644,1308,914999,88,1072387,344,0,0,0,2781257827,207231
7397650,449952,1308,915020,88,1077160,345,0,0,0,2781257827,207694
7397669,451260,1308,879939,89,1077160,346,0,0,0,2781257827,208101
7437554,452568,1308,915023,89,1092944,347,0,0,0,2781265675,209449
7437608,453876,1308,915077,89,1084111,348,0,0,0,2781265675,209641
7437633,456492,1308,877469,90,1084111,350,0,0,0,2781265675,209807
7437653,457800,1308,867931,90,1081892,351,0,0,0,2781265675,211031
7437708,459108,1308,867986,90,1091450,352,0,0,0,2781265675,212393
7478546,461724,1308,880117,91,1091450,354,0,0,0,2781274831,213597
7478606,463032,1308,841167,92,1110752,355,0,0,0,2781274831,214300
7478627,464340,1308,841188,90,1118041,356,0,0,0,2781274831,216091
7478647,465648,1308,831621,91,1118041,357,0,0,0,2781274831,217682
7519621,466956,1308,863007,92,1127628,358,0,0,0,2781282679,219391
7519676,468264,1308,863062,92,1127783,359,0,0,0,2781282679,219921
7519701,469572,1308,839601,93,1127783,360,0,0,0,2781282679,220385
7519719,470880,1308,839619,93,1151269,361,0,0,0,2781282679,221536
7560214,472188,1308,865318,94,1151269,362,0,0,0,2781293143,222553
7560270,473496,1308,865374,94,1135756,363,0,0,0,2781293143,222622
7560293,474804,1308,841963,95,1135756,364,0,0,0,2781293143,222681
7597753,477420,1308,874129,95,1154516,366,0,0,0,2781302299,223487
7597809,478728,1308,839428,96,1159810,367,0,0,0,2781302299,223156
