now_us,bbr_full_bw,bbr_full_bw_cnt,bbr_max_bw,round_start,app_limited,bbr_min_rtt,bbr_state
5839381,1691,0,1779,0,0,598277,0
5839423,1691,0,1793,0,0,598277,0
5839467,1691,0,1793,0,0,598277,0
5839485,1691,0,1793,0,0,598277,0
5839501,1691,0,1793,0,0,598277,0
5839519,1691,0,1793,0,0,598277,0
5874303,1691,0,1793,0,0,598277,0
5874367,1691,0,1793,0,0,598277,0
5879479,1691,0,1793,0,0,598277,0
5879525,1691,0,1793,0,0,598277,0
5879567,1691,0,1793,0,0,598277,0
5879586,1691,0,1793,0,0,598277,0
5879604,1691,0,1793,0,0,598277,0
5879620,1691,0,1793,0,0,598277,0
5909372,1691,0,1793,0,0,598277,0
5909454,1691,0,1793,0,0,598277,0
5919774,1691,0,1793,0,0,598277,0
5919835,1691,0,1793,0,0,598277,0
5919860,1691,0,1793,0,0,598277,0
5919881,1691,0,1793,0,0,598277,0
5919901,1691,0,1793,0,0,598277,0
5919921,1691,0,1793,0,0,598277,0
5959383,1691,0,1793,0,0,598277,0
5959446,1691,0,1793,0,0,598277,0
5959472,1691,0,1793,0,0,598277,0
5959492,1691,0,1793,0,0,598277,0
5959512,1691,0,1793,0,0,598277,0
5959532,1691,0,1793,0,0,598277,0
5959551,1691,0,1793,0,0,598277,0
5959571,1691,0,1793,0,0,598277,0
5969940,1691,0,1793,0,0,598277,0
5997863,1691,0,1793,0,0,598277,0
5997926,1691,0,1793,0,0,598277,0
6000282,1691,0,1793,0,0,598277,0
6000348,1691,0,1793,0,0,598277,0
6000368,1691,0,1793,0,0,598277,0
6000386,1691,0,1793,0,0,598277,0
6000402,1691,0,1793,0,0,598277,0
6001029,1691,0,1793,0,0,598277,0
6034755,1691,0,1793,0,0,598277,0
6034817,1691,0,1793,0,0,598277,0
6038716,1691,0,1793,0,0,598277,0
6038757,1691,0,1793,0,0,598277,0
6038779,1691,0,1793,0,0,598277,0
6039321,1691,0,1793,0,0,598277,0
6040238,1691,0,1793,0,0,598277,0
6040280,1691,0,1793,0,0,598277,0
6077359,1691,0,1793,0,0,598277,0
6077418,1691,0,1793,0,0,598277,0
6079096,1691,0,1793,0,0,598277,0
6079139,1691,0,1793,0,0,598277,0
6079190,1691,0,1793,0,0,598277,0
6079207,1691,0,1793,0,0,598277,0
6079225,1691,0,1793,0,0,598277,0
6079241,1691,0,1793,0,0,598277,0
6109563,1691,0,1793,0,0,598277,0
6109621,1691,0,1793,0,0,598277,0
6119975,1691,0,1793,0,0,598277,0
6120035,1691,0,1793,0,0,598277,0
6120062,1691,0,1793,0,0,598277,0
6120083,1691,0,1793,0,0,598277,0
6120103,1691,0,1793,0,0,598277,0
6120123,1691,0,1793,0,0,598277,0
6120146,1691,0,1793,0,0,598277,0
6159314,1691,0,1793,0,0,598277,0
6159377,1691,0,1793,0,0,598277,0
6159400,1691,0,1793,0,0,598277,0
6159421,1691,0,1793,0,0,598277,0
6159441,1691,0,1793,0,0,598277,0
6159461,1691,0,1793,0,0,598277,0
6190164,1691,0,1793,0,0,598277,0
6190223,1691,0,1793,0,0,598277,0
6198916,1691,0,1793,0,0,598277,0
6198978,1691,0,1793,0,0,598277,0
6199040,1691,0,1793,0,0,598277,0
6199059,1691,0,1793,0,0,598277,0
6199075,1691,0,1793,0,0,598277,0
6199091,1691,0,1793,0,0,598277,0
6216952,1691,0,1793,0,0,598277,0
6217020,1691,0,1793,0,0,598277,0
6238441,1691,0,1793,0,0,598277,0
6238504,1691,0,1793,0,0,598277,0
6239286,1691,0,1793,0,0,598277,0
6239491,1691,0,1793,0,0,598277,0
6239526,1691,0,1793,0,0,598277,0
6239547,1691,0,1793,0,0,598277,0
6254958,1691,0,1793,0,0,598277,0
6255495,1691,0,1793,0,0,598277,0
6278717,1691,0,1793,0,0,598277,0
6279221,1691,0,1793,0,0,598277,0
6279249,1691,0,1793,0,0,598277,0
6279799,1691,0,1793,0,0,598277,0
6279841,1691,0,1793,0,0,598277,0
6280216,1691,0,1793,0,0,591116,0
6318211,1691,0,1793,0,0,591116,0
6318272,1691,0,1793,0,0,591116,0
6318299,1691,0,1793,0,0,591116,0
6318409,1691,0,1793,0,0,591116,0
6318429,1691,0,1793,0,0,587407,0
6332454,1691,0,1793,0,0,587407,0
6359351,1691,0,1793,0,0,587407,0
6359422,1691,0,1793,0,0,587407,0
6359446,1691,0,1793,0,0,587407,0
6392499,1691,0,1793,0,0,587407,0
6392560,1691,0,1793,0,0,587407,0
6399015,1691,0,1793,0,0,587407,0
6399077,1691,0,1793,0,0,587407,0
6399100,1691,0,1793,0,0,587407,0
6399121,1691,1,1793,1,0,586634,0
6399144,1691,1,1793,0,0,586634,0
6438133,1691,1,1793,0,0,586634,0
6438195,1691,1,1793,0,0,586634,0
6438237,1691,1,1793,0,0,586634,0
6438297,1691,1,1793,0,0,586634,0
6438317,1691,1,1793,0,0,586634,0
6477945,1691,1,1793,0,0,586634,0
6478051,1691,1,1793,0,0,586634,0
6478075,1691,1,1793,0,0,586634,0
6478106,1691,1,1810,0,0,586634,0
6478126,1691,1,1824,0,0,586634,0
6479534,1691,1,1939,0,0,586634,0
6518619,1691,1,1955,0,0,586634,0
